Origem,Recall,F1-score,MAP,NDCG,MRR
BERTOPIC_PALAVRAS_10_BM25,0.4473452993598594,0.36595,0.3096167524371365,0.3442977519440858,0.3096167524371365
BERTOPIC_GUIADO_PALAVRAS_10_BM25,0.447847370402912,0.36347,0.30584075980084513,0.3412226931062284,0.30584075980084513
LEXRANK_SENTENCAS_10_BM25,0.5893058867829798,0.45606,0.37195514832015397,0.42604647025625947,0.37195514832015397
BERTOPIC_PALAVRAS_10_COSSENO,0.30538471193673905,0.23038,0.18494832852181917,0.21478071752745903,0.18494832852181917
BERTOPIC_GUIADO_PALAVRAS_10_COSSENO,0.3220785741182377,0.24945,0.20355424459227647,0.2324658143005959,0.20355424459227647
LEXRANK_SENTENCAS_10_COSSENO,0.4158403414083093,0.3031,0.2384544579724698,0.2822747957735369,0.2384544579724698
BERTOPIC_PALAVRAS_15_BM25,0.4674281410819631,0.38241,0.32356595958328105,0.3593554158669687,0.32356595958328105
BERTOPIC_GUIADO_PALAVRAS_15_BM25,0.5195180117986695,0.40846,0.33652148445671726,0.3816649074441375,0.33652148445671726
LEXRANK_SENTENCAS_15_BM25,0.6434040416718966,0.49161,0.3977678758210953,0.4582946737744377,0.3977678758210953
BERTOPIC_PALAVRAS_15_COSSENO,0.3759256934856282,0.29044,0.23662817455336596,0.27120536613150636,0.23662817455336596
BERTOPIC_GUIADO_PALAVRAS_15_COSSENO,0.38985816493033765,0.27586,0.2134492280657713,0.25755210694718517,0.2134492280657713
LEXRANK_SENTENCAS_15_COSSENO,0.4162168946905987,0.30384,0.239247311827957,0.2829605825722487,0.239247311827957
BERTOPIC_PALAVRAS_20_BM25,0.5195180117986695,0.4265,0.3617296347433162,0.4014227477384567,0.3617296347433162
BERTOPIC_GUIADO_PALAVRAS_20_BM25,0.5379691226308523,0.43304,0.3623614074724907,0.40633470345333345,0.3623614074724907
LEXRANK_SENTENCAS_20_BM25,0.6554537467051588,0.51995,0.43087736914773445,0.48650740349681004,0.43087736914773445
BERTOPIC_PALAVRAS_20_COSSENO,0.4356721476088867,0.33741,0.27531484038324755,0.3154047995372904,0.27531484038324755
BERTOPIC_GUIADO_PALAVRAS_20_COSSENO,0.43228316806828165,0.3335,0.2714719049412158,0.3118926722994339,0.2714719049412158
LEXRANK_SENTENCAS_20_COSSENO,0.4170955190159408,0.30354,0.23858625162127106,0.2826881735530017,0.23858625162127106
TEXTO_REMOCAO_BM25,0.7145726120246014,0.60415,0.5232898205096022,0.571442940262128,0.5232898205096022
TEXTO_REMOCAO_COSSENO,0.13631228818877872,0.10726,0.08841680264424082,0.09989486096917363,0.08841680264424082
TEXTO_BM25,0.7152002008284172,0.59771,0.5133697334839546,0.5638495769526828,0.5133697334839546
TEXTO_COSSENO,0.14371783607380445,0.1087,0.0874042927074181,0.1012812134065168,0.0874042927074181
ELASTICSEARCH_BM25,0.34906489268231455,0.32746,0.30837621856826075,0.31823552704195307,0.30837621856826075
LEXRANK_SENTENCAS_25_BM25,0.6614785992217899,0.52404,0.4338856114806912,0.49049852679463235,0.4338856114806912
LEXRANK_SENTENCAS_25_COSSENO,0.41684448349441444,0.30339,0.23848583741266052,0.28254909971545605,0.23848583741266052
