indice,num_tema_cadastrado,sugerido_1,similaridade_1,sugerido_2,similaridade_2,sugerido_3,similaridade_3,sugerido_4,similaridade_4,sugerido_5,similaridade_5,sugerido_6,similaridade_6,posicao_tema_real,similaridade_tema_real
1732,6,6,0.5195174217224121,449,0.44835877418518066,1080,0.3776041865348816,353,0.2861633002758026,449,0.28345027565956116,72,0.25202634930610657,1,0.5195174217224121
1733,6,6,0.5195174217224121,449,0.44835877418518066,1080,0.3776041865348816,353,0.2861633002758026,449,0.28345027565956116,72,0.25202634930610657,1,0.5195174217224121
1734,6,6,0.5195174217224121,449,0.44835877418518066,1080,0.3776041865348816,353,0.2861633002758026,449,0.28345027565956116,72,0.25202634930610657,1,0.5195174217224121
1735,6,6,0.5195174217224121,449,0.44835877418518066,1080,0.3776041865348816,353,0.2861633002758026,449,0.28345027565956116,72,0.25202634930610657,1,0.5195174217224121
1736,6,6,0.562561571598053,449,0.5111171007156372,72,0.48715740442276,359,0.436614066362381,271,0.4048462212085724,482,0.39136630296707153,1,0.562561571598053
1737,6,6,0.562561571598053,449,0.5111171007156372,72,0.48715740442276,359,0.436614066362381,271,0.4048462212085724,482,0.39136630296707153,1,0.562561571598053
1738,6,6,0.562561571598053,449,0.5111171007156372,72,0.48715740442276,359,0.436614066362381,271,0.4048462212085724,482,0.39136630296707153,1,0.562561571598053
1739,6,6,0.562561571598053,449,0.5111171007156372,72,0.48715740442276,359,0.436614066362381,271,0.4048462212085724,482,0.39136630296707153,1,0.562561571598053
1740,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1741,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1742,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
